game_id,date,home_score,away_score,home_win
776234,2025-09-21,11,0,1
776240,2025-09-21,1,7,0
776239,2025-09-21,1,0,1
776237,2025-09-21,2,3,0
776229,2025-09-21,5,8,0
776225,2025-09-21,6,2,1
776235,2025-09-21,2,3,0
776231,2025-09-21,5,1,1
776226,2025-09-21,2,4,0
776232,2025-09-21,3,1,1
776227,2025-09-21,1,3,0
776230,2025-09-21,9,2,1
776228,2025-09-21,3,7,0
776236,2025-09-21,7,3,1
776221,2025-09-22,11,5,1
776222,2025-09-22,5,4,1
776220,2025-09-22,5,6,0
776223,2025-09-23,6,0,1
776218,2025-09-23,5,2,1
776224,2025-09-23,2,4,0
776215,2025-09-23,5,6,0
776216,2025-09-23,3,2,1
776217,2025-09-23,1,4,0
776219,2025-09-23,3,2,1
776209,2025-09-23,7,9,0
776210,2025-09-23,1,4,0
776207,2025-09-23,4,8,0
776213,2025-09-23,5,4,1
776212,2025-09-23,4,3,1
776214,2025-09-23,7,0,1
776211,2025-09-23,8,9,0
776208,2025-09-23,5,1,1
776200,2025-09-24,3,4,0
776198,2025-09-24,1,3,0
776203,2025-09-24,2,6,0
776204,2025-09-24,5,1,1
776202,2025-09-24,3,4,0
776201,2025-09-24,11,1,1
776199,2025-09-24,8,1,1
776206,2025-09-24,1,7,0
776205,2025-09-24,10,3,1
776192,2025-09-24,4,2,1
776197,2025-09-24,3,2,1
776193,2025-09-24,4,5,0
776194,2025-09-24,9,2,1
776196,2025-09-24,4,3,1
776195,2025-09-24,6,0,1
776190,2025-09-25,2,1,1
776191,2025-09-25,6,5,1
776183,2025-09-25,0,4,0
776182,2025-09-25,5,11,0
776185,2025-09-25,0,8,0
776188,2025-09-25,1,0,1
776189,2025-09-25,2,4,0
776184,2025-09-25,5,3,1
776186,2025-09-25,6,1,1
776187,2025-09-25,5,8,0
776178,2025-09-25,4,9,0
776179,2025-09-25,6,2,1
776167,2025-09-26,12,1,1
776176,2025-09-26,3,1,1
776165,2025-09-26,9,10,0
776174,2025-09-26,8,4,1
776177,2025-09-26,4,2,1
776181,2025-09-26,4,3,1
776175,2025-09-26,3,7,0
776173,2025-09-26,6,2,1
776180,2025-09-26,3,9,0
776171,2025-09-26,1,3,0
776169,2025-09-26,4,3,1
776170,2025-09-26,7,4,1
776168,2025-09-26,2,3,0
776172,2025-09-26,4,3,1
776166,2025-09-26,6,3,1
776162,2025-09-27,6,1,1
776164,2025-09-27,7,3,1
776159,2025-09-27,5,1,1
776146,2025-09-27,4,3,1
776160,2025-09-27,6,5,1
776157,2025-09-27,1,2,0
776161,2025-09-27,0,5,0
776163,2025-09-27,0,5,0
776158,2025-09-27,3,2,1
776156,2025-09-27,1,3,0
776153,2025-09-27,4,7,0
776152,2025-09-27,5,1,1
